dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain
1751727600,"{'temp': 297.24, 'feels_like': 297.17, 'temp_min': 297.24, 'temp_max': 297.24, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 884, 'humidity': 56, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 76},"{'speed': 2.79, 'deg': 159, 'gust': 5.56}",10000,0.1,{'pod': 'd'},2025-07-05 15:00:00,
1751738400,"{'temp': 292.91, 'feels_like': 292.95, 'temp_min': 292.91, 'temp_max': 292.91, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 884, 'humidity': 77, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 50},"{'speed': 1.35, 'deg': 155, 'gust': 2.02}",10000,0.04,{'pod': 'n'},2025-07-05 18:00:00,
1751749200,"{'temp': 292, 'feels_like': 292.08, 'temp_min': 292, 'temp_max': 292, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 884, 'humidity': 82, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 65},"{'speed': 0.9, 'deg': 146, 'gust': 1.12}",10000,0.0,{'pod': 'n'},2025-07-05 21:00:00,
1751760000,"{'temp': 291.42, 'feels_like': 291.52, 'temp_min': 291.42, 'temp_max': 291.42, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 883, 'humidity': 85, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 80},"{'speed': 0.31, 'deg': 283, 'gust': 0.56}",10000,0.0,{'pod': 'n'},2025-07-06 00:00:00,
1751770800,"{'temp': 290.39, 'feels_like': 290.52, 'temp_min': 290.39, 'temp_max': 290.39, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 884, 'humidity': 90, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 97},"{'speed': 0.52, 'deg': 2, 'gust': 0.56}",10000,0.43,{'pod': 'n'},2025-07-06 03:00:00,{'3h': 0.35}
1751781600,"{'temp': 295.36, 'feels_like': 295.41, 'temp_min': 295.36, 'temp_max': 295.36, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 887, 'humidity': 68, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 68},"{'speed': 1.07, 'deg': 5, 'gust': 1.36}",10000,0.39,{'pod': 'd'},2025-07-06 06:00:00,
1751792400,"{'temp': 301.94, 'feels_like': 301.46, 'temp_min': 301.94, 'temp_max': 301.94, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 888, 'humidity': 39, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 46},"{'speed': 1.73, 'deg': 191, 'gust': 1.7}",10000,0.37,{'pod': 'd'},2025-07-06 09:00:00,{'3h': 0.15}
1751803200,"{'temp': 297.88, 'feels_like': 297.74, 'temp_min': 297.88, 'temp_max': 297.88, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 884, 'humidity': 51, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 63},"{'speed': 1.96, 'deg': 168, 'gust': 3.39}",10000,0.33,{'pod': 'd'},2025-07-06 12:00:00,{'3h': 0.1}
1751814000,"{'temp': 296.44, 'feels_like': 296.39, 'temp_min': 296.44, 'temp_max': 296.44, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 884, 'humidity': 60, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 98},"{'speed': 1.67, 'deg': 170, 'gust': 3.83}",10000,0.02,{'pod': 'd'},2025-07-06 15:00:00,
1751824800,"{'temp': 293.72, 'feels_like': 293.74, 'temp_min': 293.72, 'temp_max': 293.72, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 885, 'humidity': 73, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 88},"{'speed': 0.48, 'deg': 158, 'gust': 0.68}",10000,0.21,{'pod': 'n'},2025-07-06 18:00:00,
1751835600,"{'temp': 292.33, 'feels_like': 292.34, 'temp_min': 292.33, 'temp_max': 292.33, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 885, 'humidity': 78, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 49},"{'speed': 1.1, 'deg': 338, 'gust': 1.21}",10000,0.26,{'pod': 'n'},2025-07-06 21:00:00,
1751846400,"{'temp': 291.16, 'feels_like': 291.31, 'temp_min': 291.16, 'temp_max': 291.16, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 884, 'humidity': 88, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 74},"{'speed': 1.98, 'deg': 348, 'gust': 5.98}",10000,0.52,{'pod': 'n'},2025-07-07 00:00:00,{'3h': 0.19}
1751857200,"{'temp': 289.99, 'feels_like': 290.24, 'temp_min': 289.99, 'temp_max': 289.99, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 884, 'humidity': 96, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 88},"{'speed': 1.51, 'deg': 341, 'gust': 4.29}",10000,0.61,{'pod': 'n'},2025-07-07 03:00:00,{'3h': 0.18}
1751868000,"{'temp': 293.41, 'feels_like': 293.61, 'temp_min': 293.41, 'temp_max': 293.41, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 887, 'humidity': 81, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 78},"{'speed': 2.24, 'deg': 329, 'gust': 5.05}",10000,0.7,{'pod': 'd'},2025-07-07 06:00:00,{'3h': 0.3}
1751878800,"{'temp': 295.85, 'feels_like': 296.21, 'temp_min': 295.85, 'temp_max': 295.85, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 887, 'humidity': 78, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",{'all': 63},"{'speed': 1.28, 'deg': 318, 'gust': 2.2}",8330,1.0,{'pod': 'd'},2025-07-07 09:00:00,{'3h': 3.95}
1751889600,"{'temp': 294.17, 'feels_like': 294.6, 'temp_min': 294.17, 'temp_max': 294.17, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 885, 'humidity': 87, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",{'all': 80},"{'speed': 1.08, 'deg': 338, 'gust': 2.21}",10000,1.0,{'pod': 'd'},2025-07-07 12:00:00,{'3h': 3.41}
